User,Latitude,Longitude, Light,Accuracy,Pitch,Azimuth,xForce,yForce,zForce,Time,xMagnitude,yMagnitude,zMagnitude,Roll
1,30.23590912,-97.79513958,135,3,-0.003179159,2.590408325,-0.41837996,0.031284943,9.831705,1413064320.4340,-12,-22.799988,-45.59999,0.042528503
2,30.26910295,-97.74939537,135,3,-0.004846497,2.568244219,-0.48933244,0.0477507,9.840386,1413064474.6890,-12.299988,-22.799988,-46.199997,0.049686026
3,30.25573099,-97.76338577,135,3,-0.005501993,2.494149733,-0.4896318,0.069305874,9.831555,1413064517.6550,-13.199997,-20.399994,-45.59999,0.046642026
4,30.26341812,-97.75759667,135,3,-0.0067073,2.480931234,-0.48618898,0.066012725,9.829759,1413064589.3260,-14.399994,-21.59999,-45.59999,0.049420651
5,30.27429186,-97.74052262,135,3,-0.034200904,1.979112005,0.08427475,0.33769774,9.869876,1413157956.9670,-25.199997,-12.599991,-44.699997,-0.00538995
6,30.2615994,-97.7585806,135,3,-0.031769692,2.015656042,-0.10508148,0.30087432,9.869427,1413157959.1600,-24.899994,-13.5,-45,0.009369049
7,30.26790958,-97.74931242,135,3,-0.038121508,2.062299871,0.083825685,0.37601808,9.869427,1413157961.1950,-24.59999,-14.699997,-45,-0.003877844
8,30.26910295,-97.74939537,135,3,-0.031904605,2.030452538,0.03966751,0.30117372,9.941277,1413157963.2400,-24.299988,-13.5,-44.699997,0.001929729
9,30.28112041,-97.74521112,135,3,-0.039897822,2.026388264,-0.10642868,0.4125421,9.873319,1413157965.2480,-23.699997,-13.5,-44.09999,0.009752801
10,30.26910295,-97.74939537,135,3,-0.034821297,2.038413477,-0.068258055,0.33799714,9.793534,1413157967.3080,-24,-13.799988,-43.799988,0.006942734
11,40.64388454,-73.7828064,135,3,-0.037394598,1.947278261,0.04700226,0.3544629,9.946965,1413157969.3480,-24.899994,-11.399994,-45,-0.003738832
12,40.74137425,-73.98810522,135,3,-0.034808607,1.985650015,0.004939728,0.3384462,9.907746,1413157971.4110,-24.299988,-12.299988,-44.399994,0.002458599
13,40.7413882,-73.98945451,135,3,-0.028408049,1.957221603,-0.007484436,0.26973906,9.886491,1413157973.4130,-24,-11.099991,-45,0.002989836
14,40.72491033,-73.99462075,135,3,-0.028516046,1.970710421,-0.007634125,0.26973906,9.84817,1413157975.4310,-23.09999,-11.099991,-44.699997,0.003149105
15,40.72976831,-73.99853533,135,3,-0.03820475,1.992768335,0.084574126,0.37571868,9.793385,1413157977.4370,-24.59999,-12.599991,-44.699997,-0.008365517
